Turned OFF
         213968 function calls (208766 primitive calls) in 4.224 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      101    0.001    0.000    0.002    0.000 dataclasses.py:1235(fields)
        1    0.000    0.000    0.002    0.002 state.py:150(mix_key_and_hash)
     2255    0.002    0.000    0.002    0.000 dataclasses.py:425()
      689    0.001    0.000    0.002    0.000 {built-in method from_bytes}
      292    0.002    0.000    0.002    0.000 {built-in method _imp.is_builtin}
        7    0.000    0.000    0.002    0.000 state.py:21(initialize_key)
      290    0.002    0.000    0.002    0.000 {built-in method _imp.find_frozen}
        1    0.000    0.000    0.002    0.002 lzma.py:1()
        1    0.000    0.000    0.002    0.002 log_parser.py:1()
        1    0.000    0.000    0.002    0.002 text_encoding.py:1()
        1    0.000    0.000    0.002    0.002 dsa.py:1()
        6    0.002    0.000    0.002    0.000 cipher.py:26(initialize)
       40    0.001    0.000    0.002    0.000 :64(__init__)
        1    0.000    0.000    0.002    0.002 bisect.py:1()
      314    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 _staggered.py:1()
      596    0.001    0.000    0.002    0.000 enum.py:38(_is_descriptor)
      830    0.002    0.000    0.002    0.000 inspect.py:3002()
      103    0.001    0.000    0.002    0.000 inspect.py:167(get_annotations)
       40    0.001    0.000    0.002    0.000 :1562(__init__)
       87    0.001    0.000    0.002    0.000 model.py:90(converter_field)
      184    0.002    0.000    0.002    0.000 inspect.py:735(unwrap)
       68    0.000    0.000    0.002    0.000 _parser.py:98(closegroup)
        1    0.000    0.000    0.002    0.002 subprocess.py:807(__init__)
        1    0.000    0.000    0.002    0.002 __init__.py:40(__getattr__)
        1    0.000    0.000    0.002    0.002 ble_defs.py:1()
        1    0.000    0.000    0.002    0.002 pickle.py:197()
      341    0.002    0.000    0.002    0.000 dataclasses.py:287(__init__)
       93    0.001    0.000    0.002    0.000 inspect.py:2063(_signature_is_builtin)
        3    0.000    0.000    0.002    0.001 argparse.py:1342(__init__)
      222    0.002    0.000    0.002    0.000 :599(_check_name_wrapper)
      950    0.001    0.000    0.002    0.000 enum.py:1095(__new__)
       32    0.000    0.000    0.002    0.000 ipaddress.py:1286(__init__)
        8    0.000    0.000    0.002    0.000 typing.py:1670(__getitem__)
        1    0.000    0.000    0.002    0.002 connection.py:115(read_message)
        2    0.000    0.000    0.002    0.001 client.py:274(start_connection)
      634    0.001    0.000    0.002    0.000 dataclasses.py:603()
      558    0.002    0.000    0.002    0.000 inspect.py:1762(_static_getmro)
      316    0.001    0.000    0.002    0.000 :180(_path_isabs)
     1989    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
      355    0.001    0.000    0.002    0.000 dataclasses.py:1133(_get_slots)
        1    0.000    0.000    0.002    0.002 state.py:351(read_message)
        1    0.000    0.000    0.002    0.002 subprocess.py:1791(_execute_child)
     2392    0.002    0.000    0.002    0.000 {built-in method _imp.release_lock}
       23    0.000    0.000    0.002    0.000 ipaddress.py:1187(_ip_int_from_string)
       97    0.000    0.000    0.002    0.000 dataclasses.py:327(__set_name__)
        2    0.000    0.000    0.002    0.001 types.py:1()
      556    0.002    0.000    0.002    0.000 dataclasses.py:509(_init_param)
        1    0.000    0.000    0.002    0.002 abc.py:1()
      294    0.002    0.000    0.002    0.000 :357(__init__)
      896    0.001    0.000    0.002    0.000 _parser.py:256(match)
      662    0.002    0.000    0.002    0.000 dataclasses.py:646(_is_classvar)
      282    0.002    0.000    0.002    0.000 dataclasses.py:410()
        2    0.000    0.000    0.002    0.001 constants.py:1()
        1    0.000    0.000    0.002    0.002 diffie_hellmans.py:18(generate_keypair)
        1    0.000    0.000    0.002    0.002 struct.py:1()
       52    0.000    0.000    0.002    0.000 ipaddress.py:1920(__init__)
      117    0.001    0.000    0.002    0.000 :674(__getitem__)
      556    0.001    0.000    0.001    0.000 dataclasses.py:437(_field_assign)
        1    0.000    0.000    0.001    0.001 runners.py:1()
      760    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 sysconfig.py:443(get_makefile_filename)
      177    0.000    0.000    0.001    0.000 typing.py:159(_type_convert)
        1    0.000    0.000    0.001    0.001 _oid.py:1()
        1    0.000    0.000    0.001    0.001 argparse.py:1873(parse_args)
        1    0.000    0.000    0.001    0.001 argparse.py:1880(parse_known_args)
      186    0.000    0.000    0.001    0.000 inspect.py:1783(_is_type)
        1    0.000    0.000    0.001    0.001 sysconfig.py:621(get_path)
        1    0.000    0.000    0.001    0.001 heapq.py:1()
        1    0.000    0.000    0.001    0.001 sysconfig.py:609(get_paths)
        1    0.000    0.000    0.001    0.001 sysconfig.py:261(_expand_vars)
        1    0.000    0.000    0.001    0.001 sysconfig.py:1()
       28    0.000    0.000    0.001    0.000 object_id.py:35(snake_case)
        1    0.000    0.000    0.001    0.001 traceback.py:1()
      588    0.001    0.000    0.001    0.000 enum.py:70(_is_internal_class)
      225    0.001    0.000    0.001    0.000 :48(_new_module)
        1    0.000    0.000    0.001    0.001 numbers.py:1()
